num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
,N,7,0.625,17.007,173.857,0.672,2.15E-12,4.27E-05,1.74E-05,6.61E-07,4.13E-05,0.343,0.352,61.857,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.58E-12,4.27E-05,1.64E-05,7.67E-07,4.1E-05,0.338,0.349,61.8,16.9231,
,N,7,0.625,17.007,173.857,0.672,2.35E-12,4.26E-05,1.68E-05,7.42E-07,4.12E-05,0.34,0.35,61.751,15.3846,
,N,7,0.625,17.007,173.857,0.672,3.02E-12,4.13E-05,1.7E-05,7.59E-07,4.03E-05,0.339,0.345,62.373,9.2308,
,N,7,0.625,17.007,173.857,0.672,3.3E-12,3.95E-05,1.67E-05,8.37E-07,3.87E-05,0.335,0.344,62.219,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.8E-12,3.72E-05,1.6E-05,7.16E-07,3.65E-05,0.34,0.347,62.098,10.7692,
,N,7,0.625,17.007,173.857,0.672,3.44E-12,4.46E-05,1.78E-05,8.55E-07,4.32E-05,0.335,0.343,62.329,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.11E-12,3.93E-05,1.6E-05,6.59E-07,3.85E-05,0.343,0.352,61.612,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.16E-12,4.08E-05,1.6E-05,4.39E-07,3.96E-05,0.357,0.363,61.384,9.2308,
,N,7,0.625,17.007,173.857,0.672,9.92E-13,4.12E-05,1.69E-05,4.18E-07,3.99E-05,0.358,0.367,61.03,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.22E-12,3.76E-05,1.43E-05,4.76E-07,3.65E-05,0.354,0.361,61.075,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.28E-12,3.96E-05,1.59E-05,7.14E-07,3.84E-05,0.341,0.35,61.668,13.8462,
,N,7,0.625,17.007,173.857,0.672,3.15E-12,4.19E-05,1.69E-05,8.47E-07,4.07E-05,0.335,0.343,62.102,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.28E-12,4.07E-05,1.61E-05,5E-07,3.93E-05,0.352,0.363,61.14,16.9231,
,N,7,0.625,17.007,173.857,0.672,3.01E-12,4.25E-05,1.75E-05,8.06E-07,4.13E-05,0.337,0.345,62.155,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.25E-12,3.82E-05,1.57E-05,4.24E-07,3.74E-05,0.358,0.363,61.477,7.6923,
,N,7,0.625,17.007,173.857,0.672,2.15E-12,4.21E-05,1.64E-05,6.82E-07,4.09E-05,0.342,0.35,61.698,12.3077,
,N,7,0.625,17.007,173.857,0.672,9.68E-13,3.96E-05,1.7E-05,3.84E-07,3.85E-05,0.361,0.368,61.355,10.7692,
,N,7,0.625,17.007,173.857,0.672,3.43E-12,4.26E-05,1.71E-05,9.1E-07,4.12E-05,0.333,0.343,62.075,15.3846,
,N,7,0.625,17.007,173.857,0.672,5.17E-12,4.47E-05,1.82E-05,1.08E-06,4.31E-05,0.326,0.338,62.894,18.4615,
,N,7,0.625,17.007,173.857,0.672,4.17E-12,4.38E-05,1.8E-05,1E-06,4.25E-05,0.329,0.341,62.445,18.4615,
,N,7,0.625,17.007,173.857,0.672,1.88E-12,4.07E-05,1.55E-05,6.13E-07,3.94E-05,0.346,0.353,61.65,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.55E-12,3.81E-05,1.58E-05,7.32E-07,3.72E-05,0.34,0.348,61.884,12.3077,
,N,7,0.625,17.007,173.857,0.672,3.06E-12,4.16E-05,1.72E-05,7.84E-07,4.04E-05,0.338,0.345,62.24,10.7692,
,N,7,0.625,17.007,173.857,0.672,5.38E-12,4.41E-05,1.77E-05,1.1E-06,4.26E-05,0.325,0.337,62.937,18.4615,
,N,7,0.625,17.007,173.857,0.672,2.12E-12,3.86E-05,1.53E-05,6.28E-07,3.76E-05,0.345,0.351,61.832,9.2308,
,N,7,0.625,17.007,173.857,0.672,1.7E-12,4.13E-05,1.53E-05,5.93E-07,3.95E-05,0.347,0.355,61.308,12.3077,
,N,7,0.625,17.007,173.857,0.672,4.22E-12,3.92E-05,1.56E-05,1.01E-06,3.82E-05,0.328,0.341,62.266,20,
,N,7,0.625,17.007,173.857,0.672,2.58E-12,4.32E-05,1.69E-05,7.77E-07,4.14E-05,0.338,0.347,61.815,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.85E-12,4.26E-05,1.61E-05,6.25E-07,4.08E-05,0.345,0.355,61.57,15.3846,
,N,7,0.625,17.007,173.857,0.672,4.89E-12,4.26E-05,1.77E-05,1.04E-06,4.12E-05,0.327,0.339,62.769,18.4615,
,N,7,0.625,17.007,173.857,0.672,1.36E-12,3.83E-05,1.5E-05,4.88E-07,3.74E-05,0.353,0.359,61.349,9.2308,
,N,7,0.625,17.007,173.857,0.672,5.27E-12,4.2E-05,1.72E-05,1.1E-06,4.07E-05,0.325,0.338,62.678,20,
,N,7,0.625,17.007,173.857,0.672,2.94E-12,4.36E-05,1.67E-05,8.09E-07,4.2E-05,0.337,0.345,61.994,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.51E-12,4.02E-05,1.57E-05,5.48E-07,3.91E-05,0.349,0.356,61.357,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.91E-12,4.08E-05,1.56E-05,6.62E-07,3.95E-05,0.343,0.353,61.438,15.3846,
,N,7,0.625,17.007,173.857,0.672,4.81E-12,4.17E-05,1.65E-05,1.06E-06,4.05E-05,0.327,0.337,62.52,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.77E-12,3.95E-05,1.52E-05,6.2E-07,3.82E-05,0.345,0.355,61.479,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.66E-12,3.85E-05,1.61E-05,5.46E-07,3.79E-05,0.349,0.356,61.478,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.31E-12,3.7E-05,1.57E-05,6.51E-07,3.63E-05,0.344,0.35,61.971,9.2308,
,N,7,0.625,17.007,173.857,0.672,1.87E-12,4.14E-05,1.59E-05,6.19E-07,4.01E-05,0.346,0.353,61.603,10.7692,
,N,7,0.625,17.007,173.857,0.672,4.33E-12,4.16E-05,1.74E-05,9.86E-07,4.04E-05,0.329,0.34,62.536,16.9231,
,N,7,0.625,17.007,173.857,0.672,3.11E-12,4.36E-05,1.72E-05,8.57E-07,4.22E-05,0.335,0.344,62.093,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.41E-12,4.27E-05,1.63E-05,7.58E-07,4.09E-05,0.339,0.349,61.624,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.65E-12,4.1E-05,1.53E-05,5.79E-07,3.97E-05,0.348,0.355,61.411,10.7692,
,N,7,0.625,17.007,173.857,0.672,9.07E-13,3.52E-05,1.38E-05,3.71E-07,3.43E-05,0.362,0.368,61.062,9.2308,
,N,7,0.625,17.007,173.857,0.672,6.1E-12,4.46E-05,1.84E-05,1.11E-06,4.31E-05,0.324,0.336,63.242,18.4615,
,N,7,0.625,17.007,173.857,0.672,2.35E-12,4.26E-05,1.71E-05,7.12E-07,4.14E-05,0.341,0.349,61.734,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.34E-12,4.03E-05,1.57E-05,7.33E-07,3.92E-05,0.34,0.348,61.661,12.3077,
,N,7,0.625,17.007,173.857,0.672,4.76E-12,4.14E-05,1.76E-05,1.03E-06,4.02E-05,0.328,0.339,62.718,16.9231,
,N,7,0.625,17.007,173.857,0.672,1.56E-12,3.9E-05,1.63E-05,5.38E-07,3.84E-05,0.35,0.358,61.526,12.3077,
,N,7,0.625,17.007,173.857,0.672,4.37E-12,4.3E-05,1.69E-05,1.02E-06,4.15E-05,0.328,0.34,62.448,18.4615,
,N,7,0.625,17.007,173.857,0.672,2.14E-12,4.16E-05,1.65E-05,6.49E-07,4.05E-05,0.344,0.351,61.756,10.7692,
,N,7,0.625,17.007,173.857,0.672,4.7E-12,4.3E-05,1.73E-05,1.06E-06,4.18E-05,0.327,0.338,62.547,16.9231,
,N,7,0.625,17.007,173.857,0.672,1.79E-12,4.33E-05,1.72E-05,6.24E-07,4.19E-05,0.345,0.354,61.434,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.33E-12,4.29E-05,1.64E-05,6.87E-07,4.1E-05,0.342,0.349,61.854,10.7692,
,N,7,0.625,17.007,173.857,0.672,3.52E-12,3.96E-05,1.64E-05,9E-07,3.87E-05,0.333,0.342,62.176,13.8462,
,N,7,0.625,17.007,173.857,0.672,6.07E-12,4.44E-05,1.8E-05,1.15E-06,4.28E-05,0.323,0.336,63.126,20,
,N,7,0.625,17.007,173.857,0.672,1.51E-12,3.96E-05,1.56E-05,5.24E-07,3.85E-05,0.351,0.358,61.474,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.38E-12,4.13E-05,1.53E-05,7.66E-07,3.98E-05,0.339,0.35,61.598,16.9231,
,N,7,0.625,17.007,173.857,0.672,1.9E-12,4.26E-05,1.67E-05,6.45E-07,4.09E-05,0.344,0.354,61.588,15.3846,
,N,7,0.625,17.007,173.857,0.672,2.63E-12,4.31E-05,1.72E-05,7.85E-07,4.18E-05,0.338,0.348,61.902,15.3846,
,N,7,0.625,17.007,173.857,0.672,1E-12,3.74E-05,1.57E-05,3.93E-07,3.67E-05,0.36,0.366,61.221,9.2308,
,N,7,0.625,17.007,173.857,0.672,2.96E-12,4.09E-05,1.68E-05,8.08E-07,3.97E-05,0.337,0.345,62.077,12.3077,
,N,7,0.625,17.007,173.857,0.672,3.71E-12,4.29E-05,1.71E-05,9.09E-07,4.15E-05,0.332,0.342,62.355,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.21E-12,4.01E-05,1.51E-05,4.75E-07,3.88E-05,0.354,0.361,61.229,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.94E-12,4.24E-05,1.69E-05,7.7E-07,4.12E-05,0.338,0.347,62.29,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.41E-12,3.78E-05,1.48E-05,4.96E-07,3.67E-05,0.353,0.36,61.365,10.7692,
,N,7,0.625,17.007,173.857,0.672,3.08E-12,4.32E-05,1.74E-05,8.44E-07,4.17E-05,0.335,0.345,62.078,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.05E-12,3.9E-05,1.57E-05,4.14E-07,3.79E-05,0.359,0.365,61.186,9.2308,
,N,7,0.625,17.007,173.857,0.672,1.63E-12,4.12E-05,1.54E-05,5.53E-07,4E-05,0.349,0.356,61.605,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.78E-12,4.13E-05,1.64E-05,7.93E-07,4.02E-05,0.337,0.345,61.922,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.42E-12,3.89E-05,1.62E-05,5.15E-07,3.8E-05,0.351,0.36,61.431,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.89E-12,4.37E-05,1.74E-05,6.3E-07,4.22E-05,0.345,0.353,61.58,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.96E-12,4.13E-05,1.62E-05,8.36E-07,4E-05,0.336,0.345,61.972,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.06E-12,4.08E-05,1.59E-05,6.75E-07,3.95E-05,0.343,0.352,61.646,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.49E-12,4.17E-05,1.68E-05,7.32E-07,4.06E-05,0.34,0.349,61.848,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.3E-12,4.14E-05,1.59E-05,4.73E-07,4.01E-05,0.354,0.359,61.391,7.6923,
,N,7,0.625,17.007,173.857,0.672,2.2E-12,3.97E-05,1.52E-05,6.84E-07,3.83E-05,0.342,0.351,61.708,13.8462,
,N,7,0.625,17.007,173.857,0.672,8.02E-13,3.94E-05,1.61E-05,3.47E-07,3.79E-05,0.364,0.373,61.052,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.37E-12,4.26E-05,1.67E-05,7.24E-07,4.07E-05,0.34,0.35,61.818,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.07E-12,3.95E-05,1.66E-05,4.15E-07,3.86E-05,0.358,0.365,61.247,10.7692,
,N,7,0.625,17.007,173.857,0.672,2.25E-12,3.95E-05,1.51E-05,7.1E-07,3.83E-05,0.341,0.349,61.645,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.18E-12,4.34E-05,1.65E-05,7.15E-07,4.17E-05,0.341,0.35,61.623,13.8462,
,N,7,0.625,17.007,173.857,0.672,2.96E-12,4.23E-05,1.65E-05,8.37E-07,4.11E-05,0.335,0.345,61.948,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.97E-12,3.87E-05,1.55E-05,6.64E-07,3.77E-05,0.343,0.353,61.439,15.3846,
,N,7,0.625,17.007,173.857,0.672,2.18E-12,4.1E-05,1.6E-05,7.08E-07,4E-05,0.341,0.349,61.538,12.3077,
,N,7,0.625,17.007,173.857,0.672,2E-12,4.21E-05,1.63E-05,6.23E-07,4.06E-05,0.345,0.352,61.756,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.77E-12,4.01E-05,1.65E-05,6.02E-07,3.91E-05,0.346,0.355,61.468,13.8462,
,N,7,0.625,17.007,173.857,0.672,4.22E-12,4.04E-05,1.65E-05,1.01E-06,3.93E-05,0.328,0.341,62.277,20,
,N,7,0.625,17.007,173.857,0.672,2.75E-12,4.13E-05,1.64E-05,7.35E-07,4.02E-05,0.34,0.347,62.122,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.21E-12,4.13E-05,1.54E-05,4.79E-07,3.99E-05,0.354,0.362,61.204,12.3077,
,N,7,0.625,17.007,173.857,0.672,2.44E-12,4.35E-05,1.65E-05,7.62E-07,4.21E-05,0.339,0.348,61.696,13.8462,
,N,7,0.625,17.007,173.857,0.672,1.43E-12,4.01E-05,1.59E-05,5.18E-07,3.91E-05,0.351,0.358,61.3,10.7692,
,N,7,0.625,17.007,173.857,0.672,6.97E-13,3.72E-05,1.47E-05,2.94E-07,3.58E-05,0.369,0.375,61.136,9.2308,
,N,7,0.625,17.007,173.857,0.672,1.81E-12,4.26E-05,1.7E-05,6.14E-07,4.13E-05,0.346,0.354,61.6,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.05E-12,3.71E-05,1.55E-05,3.89E-07,3.62E-05,0.361,0.367,61.431,9.2308,
,N,7,0.625,17.007,173.857,0.672,2.59E-12,4.08E-05,1.71E-05,7.16E-07,3.98E-05,0.341,0.348,62.038,10.7692,
,N,7,0.625,17.007,173.857,0.672,1.25E-12,3.69E-05,1.49E-05,4.8E-07,3.6E-05,0.354,0.361,61.14,10.7692,
,N,7,0.625,17.007,173.857,0.672,7.57E-13,3.76E-05,1.55E-05,3.24E-07,3.68E-05,0.366,0.371,60.976,7.6923,
,N,7,0.625,17.007,173.857,0.672,3.5E-12,4.45E-05,1.85E-05,8.97E-07,4.31E-05,0.333,0.343,62.274,15.3846,
,N,7,0.625,17.007,173.857,0.672,1.86E-12,4.02E-05,1.56E-05,6.32E-07,3.89E-05,0.345,0.353,61.432,12.3077,
,N,7,0.625,17.007,173.857,0.672,1.33E-12,3.95E-05,1.44E-05,5.07E-07,3.72E-05,0.352,0.36,61.23,12.3077,
