num,PNMOS,Wfin [nm],amp.,corr.x,corr.y,alpha,Ioff,IDSAT,IDLIN,IDLO,IDHI,VTSAT,VTLIN,SS,DIBL(mV),sigma(VTSAT)[mV]
2,P,7,0.278,71.555,151.208,0.355,3.19E-12,2.752E-05,7.765E-06,7.322E-07,2.58E-05,-0.339,-0.351,-62.209,-18.4615,5.331806754
,,,,,,,2.651E-12,2.447E-05,7.418E-06,6.406E-07,2.323E-05,-0.344,-0.355,-62.047,-16.9231,
,,,,,,,3.45E-12,2.585E-05,7.64E-06,7.514E-07,2.441E-05,-0.338,-0.349,-62.309,-16.9231,
,,,,,,,2.254E-12,2.384E-05,6.926E-06,5.807E-07,2.255E-05,-0.347,-0.359,-61.92,-18.4615,
,,,,,,,2.686E-12,2.591E-05,7.552E-06,6.484E-07,2.443E-05,-0.343,-0.355,-62.147,-18.4615,
,,,,,,,3.574E-12,2.757E-05,8.248E-06,7.706E-07,2.593E-05,-0.337,-0.349,-62.377,-18.4615,
,,,,,,,3.462E-12,2.663E-05,7.855E-06,7.631E-07,2.508E-05,-0.338,-0.349,-62.268,-16.9231,
,,,,,,,3.514E-12,2.588E-05,7.412E-06,7.558E-07,2.44E-05,-0.338,-0.35,-62.306,-18.4615,
,,,,,,,2.226E-12,2.436E-05,7.112E-06,5.677E-07,2.294E-05,-0.348,-0.361,-62.018,-20,
,,,,,,,5.092E-12,2.702E-05,7.958E-06,8.999E-07,2.536E-05,-0.331,-0.343,-62.912,-18.4615,
,,,,,,,2.351E-12,2.545E-05,7.225E-06,5.94E-07,2.394E-05,-0.346,-0.358,-62.056,-18.4615,
,,,,,,,2.656E-12,2.602E-05,7.488E-06,6.518E-07,2.449E-05,-0.343,-0.355,-62.044,-18.4615,
,,,,,,,2.245E-12,2.379E-05,7.034E-06,5.706E-07,2.264E-05,-0.348,-0.359,-62.034,-16.9231,
,,,,,,,2.338E-12,2.469E-05,7.116E-06,6.03E-07,2.328E-05,-0.346,-0.358,-61.933,-18.4615,
,,,,,,,2.09E-12,2.489E-05,7.381E-06,5.505E-07,2.365E-05,-0.349,-0.36,-61.967,-16.9231,
,,,,,,,2.93E-12,2.604E-05,7.646E-06,6.696E-07,2.456E-05,-0.342,-0.353,-62.226,-16.9231,
,,,,,,,4.472E-12,2.765E-05,7.973E-06,8.754E-07,2.592E-05,-0.332,-0.345,-62.596,-20,
,,,,,,,3.649E-12,2.699E-05,7.825E-06,7.881E-07,2.538E-05,-0.336,-0.349,-62.289,-20,
,,,,,,,2.972E-12,2.507E-05,7.244E-06,6.908E-07,2.36E-05,-0.341,-0.353,-62.135,-18.4615,
,,,,,,,2.334E-12,2.564E-05,7.218E-06,6.075E-07,2.409E-05,-0.346,-0.357,-61.948,-16.9231,
,,,,,,,3.132E-12,2.723E-05,7.864E-06,7.301E-07,2.555E-05,-0.339,-0.351,-62.148,-18.4615,
,,,,,,,2.812E-12,2.632E-05,7.625E-06,6.867E-07,2.47E-05,-0.341,-0.354,-62.009,-20,
,,,,,,,2.436E-12,2.485E-05,6.825E-06,6.229E-07,2.338E-05,-0.345,-0.357,-61.926,-18.4615,
,,,,,,,4.99E-12,2.723E-05,7.957E-06,9.048E-07,2.556E-05,-0.331,-0.344,-62.771,-20,
,,,,,,,4.032E-12,2.738E-05,7.947E-06,8.171E-07,2.566E-05,-0.335,-0.347,-62.519,-18.4615,
,,,,,,,1.645E-12,2.398E-05,7.004E-06,4.792E-07,2.268E-05,-0.354,-0.366,-61.692,-18.4615,
,,,,,,,3.116E-12,2.674E-05,7.721E-06,7.164E-07,2.515E-05,-0.34,-0.351,-62.232,-16.9231,
,,,,,,,1.95E-12,2.524E-05,7.473E-06,5.273E-07,2.394E-05,-0.351,-0.361,-61.933,-15.3846,
,,,,,,,2.911E-12,2.584E-05,7.451E-06,6.893E-07,2.435E-05,-0.341,-0.353,-62.066,-18.4615,
,,,,,,,3.342E-12,2.679E-05,7.471E-06,7.536E-07,2.509E-05,-0.338,-0.35,-62.234,-18.4615,
,,,,,,,2.394E-12,2.539E-05,7.373E-06,6.104E-07,2.398E-05,-0.346,-0.357,-62.013,-16.9231,
,,,,,,,1.777E-12,2.432E-05,7.007E-06,5.093E-07,2.303E-05,-0.352,-0.364,-61.735,-18.4615,
,,,,,,,3.364E-12,2.66E-05,7.752E-06,7.506E-07,2.503E-05,-0.338,-0.35,-62.281,-18.4615,
,,,,,,,2.148E-12,2.444E-05,7.1E-06,5.711E-07,2.312E-05,-0.348,-0.36,-61.818,-18.4615,
,,,,,,,2.251E-12,2.582E-05,7.268E-06,5.888E-07,2.426E-05,-0.347,-0.358,-61.937,-16.9231,
,,,,,,,3.443E-12,2.77E-05,7.976E-06,7.711E-07,2.603E-05,-0.337,-0.35,-62.252,-20,
,,,,,,,3.185E-12,2.753E-05,7.771E-06,7.342E-07,2.579E-05,-0.339,-0.351,-62.208,-18.4615,
,,,,,,,1.971E-12,2.577E-05,7.325E-06,5.499E-07,2.419E-05,-0.349,-0.362,-61.771,-20,
,,,,,,,2.401E-12,2.537E-05,7.322E-06,6.261E-07,2.398E-05,-0.345,-0.357,-61.846,-18.4615,
,,,,,,,3.55E-12,2.711E-05,7.757E-06,7.753E-07,2.546E-05,-0.337,-0.349,-62.271,-18.4615,
,,,,,,,2.277E-12,2.523E-05,7.262E-06,5.863E-07,2.388E-05,-0.347,-0.359,-61.937,-18.4615,
,,,,,,,2.822E-12,2.542E-05,7.242E-06,6.546E-07,2.391E-05,-0.343,-0.354,-62.191,-16.9231,
,,,,,,,2.905E-12,2.621E-05,7.334E-06,6.943E-07,2.447E-05,-0.341,-0.353,-62.073,-18.4615,
,,,,,,,3.257E-12,2.636E-05,7.6E-06,7.273E-07,2.477E-05,-0.339,-0.35,-62.296,-16.9231,
,,,,,,,3.006E-12,2.586E-05,7.4E-06,7.036E-07,2.437E-05,-0.341,-0.352,-62.134,-16.9231,
,,,,,,,3.574E-12,2.674E-05,7.768E-06,7.705E-07,2.516E-05,-0.337,-0.349,-62.346,-18.4615,
